Gene,log2FoldChange,p_value,padj
ENSSSCG00000000002,-0.010697780140273122,0.7841745263599121,0.7841745263599121
ENSSSCG00000000003,-0.016416363773019554,0.4613146947280603,0.4613146947280603
ENSSSCG00000000005,-0.016781683935235575,0.5148130809154654,0.5148130809154654
ENSSSCG00000000006,-0.022871140502038936,0.3836355424400857,0.3836355424400857
ENSSSCG00000000007,-0.004397613559474474,0.79743425288005,0.79743425288005
ENSSSCG00000000010,-0.03318009682372886,0.4803219023369264,0.4803219023369264
ENSSSCG00000000014,-0.008458219420813819,0.6127318561035329,0.6127318561035329
ENSSSCG00000000018,-0.018916314074555882,0.02677168538155711,0.02677168538155711
ENSSSCG00000000019,0.018728340417548294,0.10637236219322106,0.10637236219322106
ENSSSCG00000000020,-0.026274418427288743,0.286814031208059,0.286814031208059
ENSSSCG00000000021,0.014492332310687394,0.5513597349094195,0.5513597349094195
ENSSSCG00000000022,0.012784903109228104,0.5479040613261326,0.5479040613261326
ENSSSCG00000000024,-0.02652551160332075,0.08973720166185686,0.08973720166185686
ENSSSCG00000000025,-0.061424980489873715,0.02863370995312773,0.02863370995312773
ENSSSCG00000000026,-0.001587863400665099,0.853112372803029,0.853112372803029
ENSSSCG00000000028,-0.027637923374376372,0.2143949344338181,0.2143949344338181
ENSSSCG00000000029,-0.0011101115786441536,0.971103053091789,0.971103053091789
ENSSSCG00000000031,-0.016429912934993896,0.49077924566924536,0.49077924566924536
ENSSSCG00000000033,-0.005615707197068925,0.8645429811337524,0.8645429811337524
ENSSSCG00000000034,-0.014074887306122892,0.2765475125902879,0.2765475125902879
ENSSSCG00000000035,-0.0062038419561282095,0.6666192306551926,0.6666192306551926
ENSSSCG00000000036,-0.03652847934626524,0.057030741662297504,0.057030741662297504
ENSSSCG00000000037,0.008069596676749146,0.4765362672863208,0.4765362672863208
ENSSSCG00000000038,-0.024163338138810074,0.05235010568216608,0.05235010568216608
ENSSSCG00000000039,-0.005898889135545177,0.37007034603571753,0.37007034603571753
ENSSSCG00000000040,0.007967224078557978,0.27209986966083727,0.27209986966083727
ENSSSCG00000000045,0.002328078681866212,0.8991953407272447,0.8991953407272447
ENSSSCG00000000046,-0.4024310100049209,0.3817005942837126,0.3817005942837126
ENSSSCG00000000050,-0.041996505085543284,0.004768022166505118,0.004768022166505118
ENSSSCG00000000057,0.007690991313372969,0.7849307797374446,0.7849307797374446
ENSSSCG00000000058,8.059560312666082e-05,0.9849904260623963,0.9849904260623963
ENSSSCG00000000059,-0.019965012804313443,0.1529636137582,0.1529636137582
ENSSSCG00000000061,-0.03815665269108464,0.040733858936251414,0.040733858936251414
ENSSSCG00000000062,-0.032108807461487025,0.036008935380386645,0.036008935380386645
ENSSSCG00000000063,-0.006359071819746208,0.7168564416260124,0.7168564416260124
ENSSSCG00000000064,-0.010261401897512065,0.020297556723594193,0.020297556723594193
ENSSSCG00000000066,-0.022231694140127583,0.04041681342683039,0.04041681342683039
ENSSSCG00000000067,-0.03604398352458338,0.22083274232110736,0.22083274232110736
ENSSSCG00000000068,0.0022626701810420716,0.9015165921766182,0.9015165921766182
ENSSSCG00000000071,0.006217075843159287,0.44284662367419125,0.44284662367419125
ENSSSCG00000000072,0.009249633095185273,0.5561603104711006,0.5561603104711006
ENSSSCG00000000073,-0.4600399363557043,0.1924662689659512,0.1924662689659512
ENSSSCG00000000074,0.015312645088190444,0.4555095115138279,0.4555095115138279
ENSSSCG00000000075,-0.003585910606671258,0.7876406653489105,0.7876406653489105
ENSSSCG00000000076,0.00231321399370005,0.868853025804107,0.868853025804107
ENSSSCG00000000077,0.019512292497558918,0.2504857164764724,0.2504857164764724
ENSSSCG00000000078,0.03041836796773374,0.10928750525330923,0.10928750525330923
ENSSSCG00000000079,-0.010603996380564463,0.8913027330125376,0.8913027330125376
