"SampleID","Cluster"
"ERR2239979",1
"ERR2239980",2
"ERR2239981",1
"ERR2239982",2
"ERR2239983",2
"ERR2239984",2
"ERR2239985",3
"ERR2239986",3
"ERR2239987",3
"ERR2239988",1
"ERR2239989",1
"ERR2239990",1
"ERR2239991",3
"ERR2239992",3
"ERR2239993",3
"ERR2239994",2
"ERR2239995",1
"ERR2239996",1
"ERR2239997",1
"ERR2239998",1
"ERR2239999",1
"ERR2240000",3
"ERR2240001",3
"ERR2240002",3
"ERR2240003",2
"ERR2240004",2
"ERR2240005",2
"ERR2240006",3
"ERR2240007",3
"ERR2240008",3
"ERR2240009",2
"ERR2240010",2
"ERR2240011",2
"ERR2240012",2
"ERR2240013",1
"ERR2240014",1
"ERR2240015",1
"ERR2240016",1
"ERR2240017",1
"ERR2240019",1
"ERR2240020",3
"ERR2240021",3
"ERR2240022",3
"ERR2240023",3
"ERR2240024",1
"ERR2240026",2
"ERR2240027",1
"ERR2240028",3
"ERR2240029",3
"ERR2240030",1
"ERR2240031",1
"ERR2240032",1
"ERR2240033",2
"ERR2240034",2
"ERR2240035",2
"ERR2240036",3
"ERR2240037",3
"ERR2240038",3
"ERR2240039",3
"ERR2240040",3
"ERR2240041",3
"ERR2240042",2
"ERR2240043",2
"ERR2240044",2
"ERR2240045",1
"ERR2240046",1
"ERR2240047",3
"ERR2240048",2
"ERR2240049",2
"ERR2240050",2
