,Cluster
ERR2239979,0
ERR2239980,0
ERR2239981,0
ERR2239982,1
ERR2239983,1
ERR2239984,1
ERR2239985,2
ERR2239986,2
ERR2239987,2
ERR2239988,3
ERR2239989,3
ERR2239990,3
ERR2239991,4
ERR2239992,4
ERR2239993,4
ERR2239994,5
ERR2239995,5
ERR2239996,5
ERR2239997,4
ERR2239998,4
ERR2239999,4
ERR2240000,5
ERR2240001,5
ERR2240002,5
ERR2240003,6
ERR2240004,6
ERR2240005,6
ERR2240006,9
ERR2240007,9
ERR2240008,9
ERR2240009,7
ERR2240010,7
ERR2240011,7
ERR2240012,8
ERR2240013,8
ERR2240014,8
ERR2240015,5
ERR2240016,5
ERR2240017,5
ERR2240019,0
ERR2240020,12
ERR2240021,4
ERR2240022,4
ERR2240023,4
ERR2240024,5
ERR2240026,5
ERR2240027,9
ERR2240028,9
ERR2240029,9
ERR2240030,10
ERR2240031,10
ERR2240032,10
ERR2240033,11
ERR2240034,11
ERR2240035,11
ERR2240036,12
ERR2240037,12
ERR2240038,12
ERR2240039,12
ERR2240040,5
ERR2240041,12
ERR2240042,13
ERR2240043,13
ERR2240044,13
ERR2240045,14
ERR2240046,14
ERR2240047,14
ERR2240048,8
ERR2240049,8
ERR2240050,8
