sampleId,cluster
ERR2239979,1
ERR2239980,2
ERR2239981,2
ERR2239982,2
ERR2239983,3
ERR2239984,3
ERR2239985,3
ERR2239986,3
ERR2239987,3
ERR2239988,3
ERR2239989,3
ERR2239990,3
ERR2239991,3
ERR2239992,3
ERR2239993,3
ERR2239994,3
ERR2239995,3
ERR2239996,3
ERR2239997,3
ERR2239998,3
ERR2239999,3
ERR2240000,3
ERR2240001,3
ERR2240002,3
ERR2240003,3
ERR2240004,3
ERR2240005,3
ERR2240006,3
ERR2240007,3
ERR2240008,3
ERR2240009,3
ERR2240010,3
ERR2240011,3
ERR2240012,3
ERR2240013,3
ERR2240014,3
ERR2240015,3
ERR2240016,3
ERR2240017,3
ERR2240019,3
ERR2240020,3
ERR2240021,3
ERR2240022,3
ERR2240023,3
ERR2240024,3
ERR2240026,3
ERR2240027,3
ERR2240028,3
ERR2240029,3
ERR2240030,3
ERR2240031,3
ERR2240032,3
ERR2240033,3
ERR2240034,3
ERR2240035,3
ERR2240036,3
ERR2240037,3
ERR2240038,3
ERR2240039,3
ERR2240040,3
ERR2240041,3
ERR2240042,3
ERR2240043,3
ERR2240044,3
ERR2240045,3
ERR2240046,3
ERR2240047,3
ERR2240048,3
ERR2240049,3
ERR2240050,3
