Sample,Predicted_Group
ERR2239979,2
ERR2239980,1
ERR2239981,1
ERR2239982,2
ERR2239983,2
ERR2239984,1
ERR2239985,1
ERR2239986,1
ERR2239987,1
ERR2239988,2
ERR2239989,2
ERR2239990,2
ERR2239991,2
ERR2239992,1
ERR2239993,1
ERR2239994,1
ERR2239995,1
ERR2239996,1
ERR2239997,2
ERR2239998,2
ERR2239999,2
ERR2240000,2
ERR2240001,1
ERR2240002,2
ERR2240003,2
ERR2240004,2
ERR2240005,2
ERR2240006,2
ERR2240007,2
ERR2240008,2
ERR2240009,1
ERR2240010,2
ERR2240011,1
ERR2240012,2
ERR2240013,2
ERR2240014,2
ERR2240015,2
ERR2240016,2
ERR2240017,2
ERR2240019,1
ERR2240020,1
ERR2240021,2
ERR2240022,2
ERR2240023,2
ERR2240024,2
ERR2240026,2
ERR2240027,1
ERR2240028,1
ERR2240029,1
ERR2240030,2
ERR2240031,1
ERR2240032,1
ERR2240033,1
ERR2240034,1
ERR2240035,1
ERR2240036,1
ERR2240037,1
ERR2240038,1
ERR2240039,2
ERR2240040,2
ERR2240041,2
ERR2240042,2
ERR2240043,2
ERR2240044,2
ERR2240045,1
ERR2240046,1
ERR2240047,1
ERR2240048,2
ERR2240049,1
ERR2240050,1
