Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSSSCG00000034016	4.584136287617835	3.7952647656337173	0.9770745017274876	0.30861446973452594	NA	NA
ENSSSCG00000031292	5.94319797530716	2.244618726732806	0.5689723840263139	2.8720185643837574e-6	5.446783207353796e-4	TRUE
ENSSSCG00000015979	2.1289722828016826	1.8399700793639222	0.7691890182924489	4.5621308458450787e-4	NA	NA
ENSSSCG00000008228	24.817983193237378	1.725142378511224	0.365765338379002	8.95471929323247e-8	4.684862107480105e-5	TRUE
ENSSSCG00000000194	542.4527245033041	1.7081560138701484	0.3277752387423388	7.824426738550006e-9	6.248010656698983e-6	TRUE
ENSSSCG00000032777	6.761461264440206	1.4258193923743412	0.400422020359654	1.2766932259111873e-5	0.0015373007637717886	TRUE
ENSSSCG00000033590	20.033667694842084	1.3885488258194794	0.20103665523782074	0.008417475536417156	0.07558308859699511	FALSE
ENSSSCG00000030767	15.723493453380895	1.3241077499706535	0.3166637442387051	1.096178550490927e-6	2.9698608871514906e-4	TRUE
ENSSSCG00000031179	106.89299669230982	1.2349444774818823	0.3853300553313833	0.0039056603415373943	0.04778764411435915	TRUE
ENSSSCG00000014368	0.617387615096881	1.1721897952606342	0.9073250672155326	0.005039147941028802	NA	NA
ENSSSCG00000027613	4.2165509784695345	1.0603421840908307	0.45584882260195175	5.539807569531393e-4	NA	NA
ENSSSCG00000012970	15.880962614463975	1.0531547167494393	0.31381749294795563	2.7693578178491053e-5	0.0024917258852275473	TRUE
ENSSSCG00000017062	2.5032353631420206	1.0337203715263643	0.5160936616050598	0.0010422695953037767	NA	NA
ENSSSCG00000003459	7.737277522812496	0.9532081854327186	0.3818410367697652	3.674314065437478e-4	0.011400141717958574	TRUE
ENSSSCG00000040579	2.9287325014495713	0.9516240338247085	0.38906380901074233	4.3009405696791433e-4	NA	NA
ENSSSCG00000000257	14.824679140029012	0.8670474203046653	0.24138662636495029	1.0857049995028956e-5	0.001365719158299538	TRUE
ENSSSCG00000009220	32.10547300579385	0.8384274253013103	0.16016099454467422	6.896468758020138e-9	5.81295688870453e-6	TRUE
ENSSSCG00000031287	4.107538872512293	0.778947624415151	0.3007601321783867	3.2239926596710334e-4	NA	NA
ENSSSCG00000032591	17.27313962436431	0.7538516223331014	0.28003998012263104	2.1417627831275772e-4	0.008346972123101032	TRUE
ENSSSCG00000006736	12.102363090873805	0.7531102263508545	0.34733841100571977	7.366162415055491e-4	0.017043076244712903	TRUE
ENSSSCG00000020824	2.1874975337130094	0.726268965485653	0.5481047246483637	0.003285297836367141	NA	NA
ENSSSCG00000038588	13.571065572613415	0.7246242787952639	0.22604976170363372	4.607689862924632e-5	0.0035129583216227398	TRUE
ENSSSCG00000003608	11.824012624580138	0.7195803274251096	0.25386146519634917	1.4168003118567222e-4	0.006593771267328279	TRUE
ENSSSCG00000034570	1680.9174956373845	0.7064557425919503	0.42702423314196875	0.002179417208861009	0.03340011908367599	TRUE
ENSSSCG00000003119	2.7394005545005014	0.7063346582188246	0.3214752112662951	8.663655554236104e-4	NA	NA
ENSSSCG00000008937	4.404719211325171	0.7055789271321433	0.8016431034094766	0.003985947025324559	NA	NA
ENSSSCG00000006217	11.061412428630938	0.7000188920501895	0.20061112092284325	1.722205830928157e-5	0.001921272563738382	TRUE
ENSSSCG00000010701	2.7909380278820763	0.6902804970200767	0.5126191632183819	0.003088976481001802	NA	NA
ENSSSCG00000003616	3.7142792381400787	0.6788129199858198	1.1253652006392498	0.0041697777759659915	NA	NA
ENSSSCG00000033214	5.7095551093913715	0.6764983966105537	0.3563088624388896	0.0013564022557737837	NA	NA
ENSSSCG00000028814	55.21511393109953	0.674647848163693	0.15080944290271522	3.2050938242661157e-7	1.157801988137274e-4	TRUE
ENSSSCG00000038138	3.5544686991217773	0.6690986708764768	0.37385693791727476	0.0017013784660508474	NA	NA
ENSSSCG00000036779	1029.2238937036636	0.667239085045022	0.25827858935763953	3.475103457811643e-4	0.011037526249019236	TRUE
ENSSSCG00000017705	17.085491236623863	0.6447757349352631	0.514655864608899	0.003273500323107886	0.04307506236096517	TRUE
